Scientific Name,Habitat
Alestopetersius smykalai,Streams
Alestopetersius smykalai,Rivers
Hyphessobrycon wadai,Rivers
Hyphessobrycon wadai,Streams
Notropsis chrosomus,Rivers
Notropsis chrosomus,Streams
Notropsis chrosomus,Pools
Crenuchus spilurus,Rivers
Crenuchus spilurus,Streams
Crenuchus spilurus,Flooded Areas
Thoracocharax stella,Rivers
Thoracocharax stella,Streams
Thoracocharax stella,Flooded Areas
Hemigrammus rubrostriatus,Rivers
Hemigrammus rubrostriatus,Streams
Hyphessobrycon erythrostigma,Streams
Hyphessobrycon erythrostigma,Flooded Areas
Hyphessobrycon erythrostigma,Lakes
Arnoldichthys spilopterus,Streams
Arnoldichthys spilopterus,Rivers
Nannostomus mortenthaleri,Rivers
Nannostomus mortenthaleri,Streams
Nannostomus mortenthaleri,Swamp
Nannostomus mortenthaleri,Flooded Areas
Oryzias latipes,Brackish
Oryzias latipes,Streams
Oryzias latipes,Flooded Areas
Oryzias latipes,Canals
Oryzias latipes,Rivers
Oryzias latipes,Pools
Epiplatys grahami,Swamp
Epiplatys grahami,Streams
Aphyosemion cinnamomeum,Streams
Aphyosemion marmoratum,Streams
Fundulopanchax scheeli,Streams
Fundulopanchax scheeli,Ponds
Aplocheilichthys normani,Rivers
Aplocheilichthys normani,Streams
Aplocheilichthys normani,Swamp
Aplocheilichthys normani,Pools
Aplocheilichthys normani,Canals
Pachypanchax playfairii,Streams
Aplocheilus blockii,Streams
Aplocheilus blockii,Flooded Areas
Aplocheilus blockii,Brackish
Fundulopanchax gardneri,Streams
Fundulopanchax gardneri,Swamp
Fundulopanchax gardneri,Pools
Aphyosemion gabunense,Swamp
Aphyosemion gabunense,Streams
Aphyosemion gabunense,Pools
Epiplatys dageti,Swamp
Oryzias dancena,Brackish
Oryzias dancena,Swamp
Oryzias dancena,Streams
Oryzias dancena,Rivers
Oryzias dancena,Pools
Aplocheilus lineatus,Brackish
Aplocheilus lineatus,Swamp
Aplocheilus lineatus,Flooded Areas
Aplocheilus lineatus,Streams
Aplocheilus lineatus,Rivers
Oryzias woworae,Streams
Oryzias woworae,Pools
Nothobranchius guentheri,Streams
Nothobranchius guentheri,Swamp
